customer_key,customer_id,customer_number,customer_name,customer_age,total_sales,total_quantity,total_order,total_products,last_order_date,lifespan,customer_segment,customer_age_group,recency,avg_order_value,avg_monthly_spend
37,11036,AW00011036,"Jennifer Russell",41,9420,8,1,2,2013-01-22,0,New,40-49,156,9420.0000,9420
38,11037,AW00011037,"Chloe Garcia",42,9496,28,1,7,2013-01-20,0,New,40-49,156,9496.0000,9496
39,11038,AW00011038,"Diana Hernandez",72,25748,12,3,3,2013-11-12,33,VIP,"Above 50",147,8582.6667,780.2424
40,11039,AW00011039,"Marc Martin",71,26544,36,3,8,2013-11-11,33,VIP,"Above 50",147,8848.0000,804.3636
41,11040,AW00011040,"Jesse Murphy",43,9404,12,1,3,2013-04-03,0,New,40-49,154,9404.0000,9404
42,11041,AW00011041,"Amanda Carter",42,9524,12,1,3,2013-01-14,0,New,40-49,156,9524.0000,9524
43,11042,AW00011042,"Megan Sanchez",43,12448,12,2,3,2013-10-17,8,New,40-49,147,6224.0000,1556.0000
44,11043,AW00011043,"Nathan Simmons",44,192,12,2,3,2013-08-18,3,New,40-49,149,96.0000,64.0000
45,11044,AW00011044,"Adam Flores",71,26060,28,3,7,2013-11-08,32,VIP,"Above 50",147,8686.6667,814.3750
46,11045,AW00011045,"Leonard Nara",70,460,16,2,4,2013-10-29,6,New,"Above 50",147,230.0000,76.6667
47,11046,AW00011046,"Christine Yuan",70,26464,24,3,6,2013-11-12,33,VIP,"Above 50",147,8821.3333,801.9394
48,11047,AW00011047,"Jaclyn Lu",70,26328,16,3,4,2013-11-19,33,VIP,"Above 50",146,8776.0000,797.8182
49,11048,AW00011048,"Jeremy Powell",69,25992,32,3,8,2013-12-25,34,VIP,"Above 50",145,8664.0000,764.4706
50,11049,AW00011049,"Carol Rai",40,324,20,2,5,2013-10-29,7,New,40-49,147,162.0000,46.2857
51,11050,AW00011050,"Alan Zheng",68,20028,24,3,6,2013-11-19,32,VIP,"Above 50",146,6676.0000,625.8750
52,11051,AW00011051,"Daniel Johnson",69,496,20,2,5,2014-01-01,0,New,"Above 50",145,248.0000,496
53,11052,AW00011052,"Heidi Lopez",69,32524,28,3,7,2013-05-27,27,VIP,"Above 50",152,10841.3333,1204.5926
54,11053,AW00011053,"Ana Price",39,9320,8,1,2,2013-01-17,0,New,30-39,156,9320.0000,9320
55,11054,AW00011054,"Deanna Munoz",68,32892,24,3,6,2013-05-30,27,VIP,"Above 50",152,10964.0000,1218.2222
56,11055,AW00011055,"Gilbert Raje",68,32672,32,3,8,2013-06-07,28,VIP,"Above 50",152,10890.6667,1166.8571
57,11056,AW00011056,"Michele Nath",67,32828,32,3,8,2013-05-31,27,VIP,"Above 50",152,10942.6667,1215.8519
58,11057,AW00011057,"Carl Andersen",55,32352,16,3,4,2013-05-21,26,VIP,"Above 50",152,10784.0000,1244.3077
59,11058,AW00011058,"Marc Diaz",60,32992,24,3,6,2013-06-04,26,VIP,"Above 50",152,10997.3333,1268.9231
60,11059,AW00011059,"Ashlee Andersen",66,468,28,3,6,2013-03-16,0,New,"Above 50",154,156.0000,468
61,11060,AW00011060,"Jon Zhou",66,32612,24,3,6,2013-06-25,27,VIP,"Above 50",151,10870.6667,1207.8519
62,11061,AW00011061,"Todd Gao",49,32516,24,3,6,2013-06-14,27,VIP,40-49,151,10838.6667,1204.2963
63,11062,AW00011062,"Noah Powell",44,9408,12,1,3,2013-01-07,0,New,40-49,157,9408.0000,9408
64,11063,AW00011063,"Angela Murphy",45,9492,20,1,5,2013-01-12,0,New,40-49,157,9492.0000,9492
65,11064,AW00011064,"Chase Reed",44,9220,8,1,2,2013-01-25,0,New,40-49,156,9220.0000,9220
66,11065,AW00011065,"Jessica Henderson",46,808,20,2,4,2014-01-10,11,New,40-49,145,404.0000,73.4545
67,11066,AW00011066,"Grace Butler",46,324,20,2,5,2013-09-19,3,New,40-49,148,162.0000,108.0000
68,11067,AW00011067,"Caleb Carter",43,420,24,2,6,2014-01-12,4,New,40-49,145,210.0000,105.0000
69,11068,AW00011068,"Tiffany Liang",59,452,36,3,8,2013-10-08,5,New,"Above 50",148,150.6667,90.4000
70,11069,AW00011069,"Carolyn Navarro",59,32416,12,3,3,2013-06-04,25,VIP,"Above 50",152,10805.3333,1296.6400
71,11070,AW00011070,"Willie Raji",65,32660,40,3,9,2013-06-26,25,VIP,"Above 50",151,10886.6667,1306.4000
72,11071,AW00011071,"Linda Serrano",65,440,28,3,6,2013-12-01,9,New,"Above 50",146,146.6667,48.8889
73,11072,AW00011072,"Casey Luo",65,32776,28,3,7,2013-06-15,26,VIP,"Above 50",151,10925.3333,1260.6154
74,11073,AW00011073,"Amy Ye",64,768,40,3,9,2013-08-21,4,New,"Above 50",149,256.0000,192.0000
75,11074,AW00011074,"Levi Arun",63,376,28,3,7,2013-05-27,2,New,"Above 50",152,125.3333,188.0000
76,11075,AW00011075,"Felicia Jimenez",62,32272,20,3,5,2013-06-24,25,VIP,"Above 50",151,10757.3333,1290.8800
77,11076,AW00011076,"Blake Anderson",63,32636,16,3,4,2013-06-21,26,VIP,"Above 50",151,10878.6667,1255.2308
78,11077,AW00011077,"Leah Ye",62,32676,20,3,5,2013-06-12,25,VIP,"Above 50",152,10892.0000,1307.0400
79,11078,AW00011078,"Gina Martin",41,3648,124,17,23,2014-01-28,11,New,40-49,144,214.5882,331.6364
80,11079,AW00011079,"Donald Gonzalez",55,232,20,3,5,2014-01-01,9,New,"Above 50",145,77.3333,25.7778
81,11080,AW00011080,"Damien Chander",61,32816,28,3,7,2013-06-23,26,VIP,"Above 50",151,10938.6667,1262.1538
82,11081,AW00011081,"Savannah Baker",54,416,20,2,5,2013-04-13,2,New,"Above 50",154,208.0000,208.0000
83,11082,AW00011082,"Angela Butler",54,12440,24,2,6,2013-11-06,9,New,"Above 50",147,6220.0000,1382.2222
84,11083,AW00011083,"Alyssa Cox",48,12548,20,2,5,2013-11-08,10,New,40-49,147,6274.0000,1254.8000
85,11084,AW00011084,"Lucas Phillips",62,12312,20,2,5,2013-11-21,10,New,"Above 50",146,6156.0000,1231.2000
86,11085,AW00011085,"Emily Johnson",63,516,20,2,5,2014-01-08,1,New,"Above 50",145,258.0000,516.0000
87,11086,AW00011086,"Ryan Brown",62,612,24,2,6,2013-12-21,5,New,"Above 50",145,306.0000,122.4000
88,11087,AW00011087,"Tamara Liang",62,800,16,2,4,2013-08-09,5,New,"Above 50",150,400.0000,160.0000
89,11088,AW00011088,"Hunter Davis",62,12704,28,2,7,2013-11-12,9,New,"Above 50",147,6352.0000,1411.5556
90,11089,AW00011089,"Abigail Price",63,12752,28,2,7,2013-11-18,10,New,"Above 50",146,6376.0000,1275.2000
91,11090,AW00011090,"Trevor Bryant",57,26812,24,3,6,2013-11-21,27,VIP,"Above 50",146,8937.3333,993.0370
92,11091,AW00011091,"Dalton Perez",63,4744,236,28,25,2014-01-08,11,New,"Above 50",145,169.4286,431.2727
93,11092,AW00011092,"Cheryl Diaz",53,32440,20,3,5,2013-06-21,26,VIP,"Above 50",151,10813.3333,1247.6923
94,11093,AW00011093,"Aimee He",47,32720,28,3,7,2013-06-08,26,VIP,40-49,152,10906.6667,1258.4615
95,11094,AW00011094,"Cedric Ma",58,944,32,3,8,2014-01-11,9,New,"Above 50",145,314.6667,104.8889
96,11095,AW00011095,"Chad Kumar",57,32632,28,3,7,2013-06-25,26,VIP,"Above 50",151,10877.3333,1255.0769
97,11096,AW00011096,"Andr├®s Anand",58,32252,16,3,4,2013-07-30,27,VIP,"Above 50",150,10750.6667,1194.5185
98,11097,AW00011097,"Edwin Nara",53,32396,20,3,5,2013-07-24,27,VIP,"Above 50",150,10798.6667,1199.8519
99,11098,AW00011098,"Mallory Rubio",59,356,16,3,4,2013-10-16,8,New,"Above 50",147,118.6667,44.5000
100,11099,AW00011099,"Adam Ross",59,32864,36,3,8,2013-07-01,26,VIP,"Above 50",151,10954.6667,1264.0000
101,11100,AW00011100,"Latasha Navarro",59,32688,28,3,7,2013-08-07,27,VIP,"Above 50",150,10896.0000,1210.6667
102,11101,AW00011101,"Abby Sai",55,33048,28,3,7,2013-06-29,26,VIP,"Above 50",151,11016.0000,1271.0769
103,11102,AW00011102,"Julia Nelson",55,412,20,3,5,2013-12-09,4,New,"Above 50",146,137.3333,103.0000
104,11103,AW00011103,"Cassie Chande",44,32728,32,3,8,2013-06-06,25,VIP,40-49,152,10909.3333,1309.1200
105,11104,AW00011104,"Edgar Sara",50,32692,24,3,6,2013-06-15,25,VIP,"Above 50",151,10897.3333,1307.6800
106,11105,AW00011105,"Candace Fernandez",55,32384,20,3,5,2013-06-05,24,VIP,"Above 50",152,10794.6667,1349.3333
107,11106,AW00011106,"Jessie Liu",55,32316,12,3,3,2013-06-15,24,VIP,"Above 50",151,10772.0000,1346.5000
108,11107,AW00011107,"Bianca Lin",49,32684,24,3,6,2013-06-21,25,VIP,40-49,151,10894.6667,1307.3600
109,11108,AW00011108,"Kari Alvarez",57,32496,20,3,5,2013-06-23,25,VIP,"Above 50",151,10832.0000,1299.8400
110,11109,AW00011109,"Ruben Kapoor",45,32980,32,3,8,2013-06-24,25,VIP,40-49,151,10993.3333,1319.2000
111,11110,AW00011110,"Curtis Yang",58,32372,20,3,5,2013-08-20,27,VIP,"Above 50",149,10790.6667,1198.9630
112,11111,AW00011111,"Meredith Gutierrez",58,32548,32,3,8,2013-08-22,27,VIP,"Above 50",149,10849.3333,1205.4815
113,11112,AW00011112,"Crystal Wang",57,33180,24,3,6,2013-09-02,27,VIP,"Above 50",149,11060.0000,1228.8889
114,11113,AW00011113,"Micheal Blanco",52,440,28,3,7,2013-04-21,2,New,"Above 50",153,146.6667,220.0000
115,11114,AW00011114,"Leslie Moreno",58,492,28,3,6,2013-12-26,9,New,"Above 50",145,164.0000,54.6667
116,11115,AW00011115,"Alvin Cai",58,456,24,3,6,2014-01-02,10,New,"Above 50",145,152.0000,45.6000
117,11116,AW00011116,"Clinton Carlson",46,596,28,3,7,2013-10-16,7,New,40-49,147,198.6667,85.1429
118,11117,AW00011117,"April Deng",59,32740,32,3,8,2013-06-25,25,VIP,"Above 50",151,10913.3333,1309.6000
119,11118,AW00011118,"Alvin Zeng",63,496,32,3,6,2014-01-26,6,New,"Above 50",144,165.3333,82.6667
120,11119,AW00011119,"Evan James",85,340,16,2,4,2013-11-23,9,New,"Above 50",146,170.0000,37.7778
121,11120,AW00011120,"Beth Jim├®nez",84,32968,40,3,10,2013-09-19,28,VIP,"Above 50",148,10989.3333,1177.4286
122,11121,AW00011121,"Orlando Suarez",59,232,24,3,5,2013-11-04,4,New,"Above 50",147,77.3333,58.0000
123,11122,AW00011122,"Byron Vazquez",60,172,12,3,3,2013-08-22,6,New,"Above 50",149,57.3333,28.6667
124,11123,AW00011123,"Philip Alvarez",60,600,32,3,7,2014-01-25,9,New,"Above 50",144,200.0000,66.6667
125,11124,AW00011124,"Ross Jordan",57,32516,24,3,6,2013-06-18,25,VIP,"Above 50",151,10838.6667,1300.6400
126,11125,AW00011125,"Dana Navarro",64,316,28,3,7,2013-07-03,5,New,"Above 50",151,105.3333,63.2000
127,11126,AW00011126,"Shaun Carson",71,19884,32,3,7,2013-11-03,29,VIP,"Above 50",147,6628.0000,685.6552
128,11127,AW00011127,"Jan Edwards",44,176,12,2,3,2013-10-01,5,New,40-49,148,88.0000,35.2000
129,11128,AW00011128,"Samantha Long",44,576,28,2,7,2013-08-12,1,New,40-49,150,288.0000,576.0000
130,11129,AW00011129,"Julia Wright",45,23492,8,2,2,2013-01-09,17,VIP,40-49,157,11746.0000,1381.8824
131,11130,AW00011130,"Caroline Russell",40,148,8,1,2,2013-12-09,0,New,40-49,146,148.0000,148
132,11131,AW00011131,"Amanda Rivera",40,664,36,5,9,2014-01-23,3,New,40-49,144,132.8000,221.3333
133,11132,AW00011132,"Melissa Richardson",39,9488,24,1,6,2013-04-09,0,New,30-39,154,9488.0000,9488
134,11133,AW00011133,"Angela Griffin",39,288,16,1,4,2013-12-30,0,New,30-39,145,288.0000,288
135,11134,AW00011134,"Larry Townsend",68,19644,12,3,3,2013-11-03,30,VIP,"Above 50",147,6548.0000,654.8000
136,11135,AW00011135,"Marcus Harris",40,9340,12,1,3,2013-04-18,0,New,40-49,153,9340.0000,9340
137,11136,AW00011136,"Brianna Morgan",41,9524,12,1,3,2013-01-03,0,New,40-49,157,9524.0000,9524
138,11137,AW00011137,"Jasmine Taylor",42,808,20,2,4,2014-01-20,5,New,40-49,144,404.0000,161.6000
139,11138,AW00011138,"Lauren Davis",41,316,16,2,4,2013-12-31,3,New,40-49,145,158.0000,105.3333
140,11139,AW00011139,"Tanya Moreno",76,336,12,2,3,2013-10-17,1,New,"Above 50",147,168.0000,336.0000
141,11140,AW00011140,"Javier Alvarez",43,160,8,1,2,2013-03-19,0,New,40-49,154,160.0000,160
142,11141,AW00011141,"Nicole Ramirez",43,456,20,2,5,2013-09-28,4,New,40-49,148,228.0000,114.0000
143,11142,AW00011142,"Eduardo Patterson",43,3916,144,17,23,2014-01-13,11,New,40-49,145,230.3529,356.0000
144,11143,AW00011143,"Jonathan Henderson",43,192,20,2,4,2013-12-19,6,New,40-49,145,96.0000,32.0000
145,11144,AW00011144,"Edward Hernandez",40,9600,12,1,3,2013-01-25,0,New,40-49,156,9600.0000,9600
146,11145,AW00011145,"Jasmine Coleman",40,9240,12,1,3,2013-01-25,0,New,40-49,156,9240.0000,9240
147,11146,AW00011146,"Karla Goel",80,452,28,3,6,2013-09-15,7,New,"Above 50",148,150.6667,64.5714
148,11147,AW00011147,"Ernest Wu",81,32780,28,3,7,2013-10-16,29,VIP,"Above 50",147,10926.6667,1130.3448
149,11148,AW00011148,"Ross Vazquez",79,504,24,3,5,2013-12-03,8,New,"Above 50",146,168.0000,63.0000
150,11149,AW00011149,"Theodore Gill",79,164,16,3,4,2013-11-29,5,New,"Above 50",146,54.6667,32.8000
151,11150,AW00011150,"Russell Shen",79,768,32,3,7,2013-07-15,3,New,"Above 50",150,256.0000,256.0000
152,11151,AW00011151,"Melinda Gill",78,32348,24,3,6,2013-10-20,29,VIP,"Above 50",147,10782.6667,1115.4483
153,11152,AW00011152,"James Williams",44,9180,4,1,1,2013-01-09,0,New,40-49,157,9180.0000,9180
154,11153,AW00011153,"Angela James",44,440,20,2,5,2013-03-29,0,New,40-49,154,220.0000,440
155,11154,AW00011154,"Megan Walker",43,9280,4,1,1,2013-01-10,0,New,40-49,157,9280.0000,9280
156,11155,AW00011155,"Hunter Robinson",44,9280,4,1,1,2013-01-06,0,New,40-49,157,9280.0000,9280
157,11156,AW00011156,"Maria Roberts",44,9560,16,1,4,2013-01-08,0,New,40-49,157,9560.0000,9560
158,11157,AW00011157,"Hannah Long",45,164,12,2,3,2013-09-11,1,New,40-49,149,82.0000,164.0000
159,11158,AW00011158,"Jason Wright",44,9584,12,1,3,2013-01-19,0,New,40-49,156,9584.0000,9584
160,11159,AW00011159,"Brianna Hughes",44,192,20,2,4,2013-11-07,1,New,40-49,147,96.0000,192.0000
161,11160,AW00011160,"Maurice Tang",46,9288,8,1,2,2013-02-21,0,New,40-49,155,9288.0000,9288
162,11161,AW00011161,"Emily Wood",46,376,24,2,6,2013-11-11,5,New,40-49,147,188.0000,75.2000
163,11162,AW00011162,"Chase Cox",46,9320,8,1,2,2013-02-18,0,New,40-49,155,9320.0000,9320
164,11163,AW00011163,"Gabriel Wang",45,184,16,2,4,2013-08-05,3,New,40-49,150,92.0000,61.3333
165,11164,AW00011164,"Devin Brooks",46,580,24,2,6,2013-08-05,3,New,40-49,150,290.0000,193.3333
166,11165,AW00011165,"Jocelyn Alexander",47,412,12,2,3,2013-06-05,0,New,40-49,152,206.0000,412
167,11166,AW00011166,"Ashley Martinez",48,352,20,2,5,2013-12-06,1,New,40-49,146,176.0000,352.0000
168,11167,AW00011167,"Jasmine Barnes",48,12504,16,2,4,2013-11-28,10,New,40-49,146,6252.0000,1250.4000
169,11168,AW00011168,"David Rodriguez",52,12544,28,2,7,2013-11-16,10,New,"Above 50",146,6272.0000,1254.4000
170,11169,AW00011169,"Bryce Richardson",52,324,20,2,5,2013-09-24,3,New,"Above 50",148,162.0000,108.0000
171,11170,AW00011170,"Carol Howard",52,628,28,2,7,2013-12-29,4,New,"Above 50",145,314.0000,157.0000
172,11171,AW00011171,"Jonathan Hill",47,26864,32,3,8,2013-11-07,26,VIP,40-49,147,8954.6667,1033.2308
173,11172,AW00011172,"Gabrielle Adams",52,516,28,2,6,2014-01-11,8,New,"Above 50",145,258.0000,64.5000
174,11173,AW00011173,"Sarah Thomas",52,412,12,2,3,2013-12-24,9,New,"Above 50",145,206.0000,45.7778
175,11174,AW00011174,"Nicholas Robinson",53,192,20,2,4,2013-07-25,0,New,"Above 50",150,96.0000,192
176,11175,AW00011175,"Luis Wang",57,26840,32,3,8,2013-11-03,26,VIP,"Above 50",147,8946.6667,1032.3077
177,11176,AW00011176,"Mason Roberts",47,5268,240,28,27,2014-01-27,11,New,40-49,144,188.1429,478.9091
178,11177,AW00011177,"Jose Flores",78,540,24,2,6,2013-10-14,6,New,"Above 50",147,270.0000,90.0000
179,11178,AW00011178,"Nathan Johnson",71,580,24,2,6,2013-05-26,3,New,"Above 50",152,290.0000,193.3333
180,11179,AW00011179,"Molly Rodriguez",66,500,24,2,6,2014-01-09,9,New,"Above 50",145,250.0000,55.5556
181,11180,AW00011180,"April Anand",77,552,24,2,6,2013-09-25,6,New,"Above 50",148,276.0000,92.0000
182,11181,AW00011181,"Devin Martin",66,164,12,2,3,2013-07-11,2,New,"Above 50",151,82.0000,82.0000
183,11182,AW00011182,"Stephanie Torres",75,324,20,2,5,2014-01-05,4,New,"Above 50",145,162.0000,81.0000
184,11183,AW00011183,"Jasmine Lee",76,184,16,2,4,2013-06-13,1,New,"Above 50",152,92.0000,184.0000
185,11184,AW00011184,"Meghan Hernandez",70,272,20,2,5,2013-10-09,1,New,"Above 50",148,136.0000,272.0000
186,11185,AW00011185,"Ashley Henderson",75,6464,272,27,29,2014-01-26,11,New,"Above 50",144,239.4074,587.6364
187,11186,AW00011186,"Sarah Price",76,164,12,2,3,2014-01-07,2,New,"Above 50",145,82.0000,82.0000
188,11187,AW00011187,"Jennifer Cooper",76,432,16,2,4,2013-08-06,4,New,"Above 50",150,216.0000,108.0000
189,11188,AW00011188,"Catherine Morris",75,324,20,2,5,2014-01-21,2,New,"Above 50",144,162.0000,162.0000
190,11189,AW00011189,"Lawrence Blanco",76,23776,24,2,6,2013-02-05,17,VIP,"Above 50",156,11888.0000,1398.5882
191,11190,AW00011190,"Carson Bryant",76,184,16,2,4,2014-01-16,4,New,"Above 50",144,92.0000,46.0000
192,11191,AW00011191,"Kristi Perez",74,26972,28,3,7,2013-11-06,26,VIP,"Above 50",147,8990.6667,1037.3846
193,11192,AW00011192,"James Brown",74,456,20,2,5,2013-09-25,3,New,"Above 50",148,228.0000,152.0000
194,11193,AW00011193,"Ian Gray",75,164,12,2,3,2013-08-18,5,New,"Above 50",149,82.0000,32.8000
195,11194,AW00011194,"Jacqueline Price",75,420,24,2,6,2013-12-08,8,New,"Above 50",146,210.0000,52.5000
196,11195,AW00011195,"Megan Henderson",74,420,24,2,6,2013-10-22,6,New,"Above 50",147,210.0000,70.0000
197,11196,AW00011196,"Alfredo Romero",74,648,16,2,4,2013-09-24,6,New,"Above 50",148,324.0000,108.0000
198,11197,AW00011197,"Andrea Morris",74,828,24,2,5,2013-07-20,2,New,"Above 50",150,414.0000,414.0000
199,11198,AW00011198,"Brooke Sanders",73,392,16,2,4,2013-02-13,0,New,"Above 50",156,196.0000,392
200,11199,AW00011199,"Jacqueline Bennett",68,528,24,2,6,2013-10-17,6,New,"Above 50",147,264.0000,88.0000
201,11200,AW00011200,"Jason Griffin",72,5844,220,27,26,2014-01-20,11,New,"Above 50",144,216.4444,531.2727
202,11201,AW00011201,"Amanda Foster",72,724,24,2,6,2013-09-09,2,New,"Above 50",149,362.0000,362.0000
203,11202,AW00011202,"Alexia Price",67,296,12,2,3,2013-09-21,0,New,"Above 50",148,148.0000,296
204,11203,AW00011203,"Luis Diaz",66,3200,128,17,19,2013-12-11,9,New,"Above 50",146,188.2353,355.5556
205,11204,AW00011204,"Destiny Rivera",72,308,16,2,4,2013-11-10,3,New,"Above 50",147,154.0000,102.6667
206,11205,AW00011205,"Abby Fernandez",72,148,8,2,2,2013-10-08,2,New,"Above 50",148,74.0000,74.0000
207,11206,AW00011206,"Blake Flores",71,308,16,2,4,2013-05-30,0,New,"Above 50",152,154.0000,308
208,11207,AW00011207,"Danielle Cox",72,308,16,2,4,2013-10-18,8,New,"Above 50",147,154.0000,38.5000
209,11208,AW00011208,"Maria Reed",72,536,28,2,7,2013-09-17,6,New,"Above 50",148,268.0000,89.3333
210,11209,AW00011209,"Allison Evans",72,148,8,2,2,2014-01-22,9,New,"Above 50",144,74.0000,16.4444
211,11210,AW00011210,"Edward Wood",72,280,20,2,5,2013-09-06,4,New,"Above 50",149,140.0000,70.0000
212,11211,AW00011211,"Samantha Russell",65,3168,132,17,22,2014-01-07,11,New,"Above 50",145,186.3529,288.0000
213,11212,AW00011212,"Chloe Campbell",70,3296,132,17,20,2014-01-17,11,New,"Above 50",144,193.8824,299.6364
214,11213,AW00011213,"Stephanie Murphy",71,308,16,2,4,2013-09-09,5,New,"Above 50",149,154.0000,61.6000
215,11214,AW00011214,"Charles Miller",70,648,16,2,4,2013-11-19,3,New,"Above 50",146,324.0000,216.0000
216,11215,AW00011215,"Ana Perry",64,4616,128,17,21,2013-12-15,10,New,"Above 50",145,271.5294,461.6000
217,11216,AW00011216,"Jasmine Torres",70,23792,20,2,5,2013-02-05,17,VIP,"Above 50",156,11896.0000,1399.5294
218,11217,AW00011217,"Natalie Adams",70,23812,12,2,3,2013-02-14,18,VIP,"Above 50",155,11906.0000,1322.8889
219,11218,AW00011218,"Olivia Brown",64,156,12,2,2,2014-01-04,10,New,"Above 50",145,78.0000,15.6000
220,11219,AW00011219,"Charles Cook",69,156,12,2,2,2014-01-24,2,New,"Above 50",144,78.0000,78.0000
221,11220,AW00011220,"Erica Huang",64,200,16,2,4,2013-12-13,8,New,"Above 50",146,100.0000,25.0000
222,11221,AW00011221,"Nathan Perry",70,184,16,2,4,2013-10-17,6,New,"Above 50",147,92.0000,30.6667
223,11222,AW00011222,"Alexandra Rivera",69,832,24,2,6,2013-11-28,0,New,"Above 50",146,416.0000,832
224,11223,AW00011223,"Hailey Patterson",68,5172,260,27,26,2014-01-06,11,New,"Above 50",145,191.5556,470.1818
225,11224,AW00011224,"Tiffany Li",68,26740,20,3,5,2013-12-03,27,VIP,"Above 50",146,8913.3333,990.3704
226,11225,AW00011225,"Madison Lee",64,292,20,2,5,2013-09-06,2,New,"Above 50",149,146.0000,146.0000
227,11226,AW00011226,"Sydney Ross",63,148,8,2,2,2013-03-31,1,New,"Above 50",154,74.0000,148.0000
228,11227,AW00011227,"Marshall Chavez",63,23640,20,2,5,2013-02-10,18,VIP,"Above 50",156,11820.0000,1313.3333
229,11228,AW00011228,"Ashley Jones",69,308,16,2,4,2014-01-17,2,New,"Above 50",144,154.0000,154.0000
